('31225', 80917)	
('31224', 59090)	
('31227', 70448)	
('31639', 1447)	
('31636', 16699)	
('31637', 13686)	
('31634', 14407)	
('31635', 4653)	
('31632', 14247)	
('31633', 14668)	
('31630', 18055)	
('31631', 27195)	
('31020', 14111)	
('31034', 10305)	
('31035', 9587)	
('31036', 7190)	
('31037', 20306)	
('31030', 17276)	
('31031', 11298)	
('31032', 3680)	
('31033', 7116)	
('31038', 6603)	
('31039', 13164)	
